accession	genotype	subtype	protein	source_database	source_url	sequence_file	length_aa	include	status_notes
ACY65416.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65416.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65417.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65417.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65418.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65418.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65419.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65419.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65420.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65420.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65421.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65421.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65422.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65422.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65423.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65423.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65424.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65424.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65425.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65425.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
