start_alignment_position,end_alignment_position,mean_conservation,gap_fraction
297,311,0.9915,0.0
185,199,0.9773,0.0
186,200,0.9773,0.0
187,201,0.9773,0.0
183,197,0.9759,0.0
184,198,0.9759,0.0
94,108,0.973,0.0
95,109,0.973,0.0
96,110,0.9716,0.0
97,111,0.9716,0.0
292,306,0.9702,0.0
298,312,0.9702,0.0
295,309,0.9688,0.0
296,310,0.9688,0.0
293,307,0.9674,0.0
294,308,0.9674,0.0
371,385,0.9674,0.0
372,386,0.9674,0.0
182,196,0.9546,0.0
1,15,0.9533,1.0
180,194,0.9532,0.0
181,195,0.9532,0.0
2,16,0.9511,1.0
8,22,0.9511,1.0
92,106,0.9504,0.0
269,283,0.9504,0.0
333,347,0.9504,0.0
91,105,0.9489,0.0
93,107,0.9489,0.0
98,112,0.9489,0.0
299,313,0.9489,0.0
330,344,0.9489,0.0
331,345,0.9489,0.0
332,346,0.9489,0.0
334,348,0.9489,0.0
335,349,0.9489,0.0
7,21,0.9489,1.0
288,302,0.9475,0.0
289,303,0.9475,0.0
290,304,0.9475,0.0
291,305,0.9475,0.0
374,388,0.9475,0.0
375,389,0.9475,0.0
3,17,0.9467,1.0
4,18,0.9467,1.0
5,19,0.9467,1.0
6,20,0.9467,1.0
373,387,0.9461,0.0
376,390,0.9461,0.0
377,391,0.9461,0.0
